date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2022-06-30 00:00:00+00:00,825617476475.9115,16986491968.430935,5151718177.520189,39568619866.61789,17630720532.02921,1390903526228.1707,552269035724.8204,14584830389.915686,37611475647.892456,34069771713.532455,31424228969.133247,19852538065.18218,41637867657.71899,162467224817.84973
2022-07-31 00:00:00+00:00,1129753601037.898,12082182963.691563,4434621352.770664,387316338824.85657,14492047483.751503,2602229567728.206,518333317798.38525,18954883230.354435,34777108517.49632,26478498908.87426,18129003450.100574,15869000135.254147,41412962658.82292,170541051317.75162
2022-08-31 00:00:00+00:00,862101036193.161,17139086246.81318,3825661992.0300894,88829729532.98811,12775792675.384892,1439568847072.7073,507174877239.36804,18603178436.521244,33523332349.17452,20606658015.531147,11970304629.874926,14772728699.88864,32104429076.37104,307035323631.91425
2022-09-30 00:00:00+00:00,1007853465642.827,10168831973.378252,4033500541.9641867,56683018258.70396,12542061191.20503,1406712224808.3308,468723477740.47577,14132844021.196983,19069431765.204075,18415051819.139095,9640457731.014334,15186875095.166245,25589774302.24309,160200666368.93716
2022-10-31 00:00:00+00:00,831390767945.1857,38354423049.00183,3491569851.6340156,51584621058.84999,8286912018.099004,1094579409037.1812,313357716637.1357,16313574508.071278,16106792940.719646,14615784011.1133,9720311784.564974,10615521413.867708,21677516484.168526,101832457520.23018
2022-11-30 00:00:00+00:00,1047034539356.4513,66305973222.70647,2765783414.926607,48398464131.63269,30878713611.262157,1584118641184.4126,431828757182.00433,24867654200.473003,41709005130.55069,14113499633.311584,14983485179.414371,17991352376.527596,36653476154.60924,118606656545.47504
2022-12-31 00:00:00+00:00,598730512332.9536,22268966388.969994,1275977818.4267535,25537163841.48074,15513325371.295164,757734104966.4457,162822872970.4687,12265052793.369568,17665445933.65548,6342267124.654097,6692582265.268777,6752633718.674534,16570835522.817379,63135646087.3299
2023-01-31 00:00:00+00:00,901704225990.7107,21224048384.853416,1971408130.0888572,34737746013.239975,19901016731.21374,1137303776053.202,241253046566.26193,12412101932.902393,18047298948.922173,12215815228.557632,9633341467.248972,9375797270.146498,28012194355.566948,90947988114.14612
2023-02-28 00:00:00+00:00,1016383594762.8336,22295813044.33286,2008456113.4563243,30329124881.52215,18661706038.303684,1317226763297.7747,253826092904.58545,12516363181.579533,20188476503.67775,10572125521.979734,11082049159.546915,12509077872.986715,33490554002.88587,106708737206.75327
2023-03-31 00:00:00+00:00,1088070159075.664,16017930160.115488,2908144746.6610928,58609628360.61486,22551118766.911774,1376081907641.4897,473537786851.01526,8727910229.122952,23241139106.09124,12288230346.825346,13194334098.628763,10448054274.852547,49955976748.32259,168412717936.876
2023-04-30 00:00:00+00:00,492238010028.01953,34388407940.265755,2098132444.7118118,39408962922.21301,17505466014.864285,795065317848.0376,316523120856.7432,2682802206.9061604,23118382489.23275,11845363834.835657,10341057950.168995,9036885384.52345,32802598960.0168,120319716152.30052
2023-05-31 00:00:00+00:00,367314728971.5724,9785502489.486332,1246995013.4484904,30519866455.572643,16672522265.946075,542842009038.82404,224844592503.0186,2229514760.9278936,15950377155.386665,6586045043.1819725,10481957212.516167,4445197274.51079,16176253274.4601,115843370742.16505
2023-06-30 00:00:00+00:00,395815700786.15076,9797951041.9867,1696534420.7688382,36810476843.67681,23359241625.107735,554602197711.3811,247739243133.6415,10093155187.673948,23240993950.498913,8785073577.694826,9457958533.986816,4712210171.647389,16664811343.571877,103383709112.70781
2023-07-31 00:00:00+00:00,345890101510.09393,17725326998.432114,6742052041.561051,55521935960.70953,33994879167.35076,541466138218.903,232066777806.52313,16217330145.42997,18088934818.852184,7891450466.252212,8561957842.962215,8735550127.113342,15580763129.357235,109319771506.2015
2023-08-31 00:00:00+00:00,354849291202.766,11733046199.439878,3012002394.7180657,34730448768.03333,17308562276.624405,537416613181.21045,212924503202.04602,6757502518.58227,14008956191.189476,6005858052.777306,6117330908.137308,6527007677.745165,17308454303.371212,112094346747.74887
2023-09-30 00:00:00+00:00,307054321097.8929,6532869028.21354,2202526336.628672,22207350500.742977,10529681421.334475,485645546314.28613,213038651948.22037,5233463843.6568775,11502942253.50812,3378650754.0499854,5923926708.502477,6671971990.227835,13544219971.56093,118510649472.32806
2023-10-31 00:00:00+00:00,442442862692.12646,10097488228.713726,2286618965.6093225,29536712896.70893,10850445885.117905,838468515726.5745,308617753104.7742,6181044565.501804,13042194676.049423,5084621382.338333,7562103540.698305,15421499897.804379,24059195628.579586,174031868067.3934
2023-11-30 00:00:00+00:00,520552850980.17725,28251441386.326126,3010628393.672453,43609914476.95048,14387151205.580238,944223937955.4386,510235458595.93933,4285869612.2557173,25829050672.85975,11269600407.499203,11262085782.624258,24529820153.41468,40905289730.49938,265678580134.68732
2023-12-31 00:00:00+00:00,692408742536.8275,31276682852.24641,2473084286.799367,39730406536.11942,17337877282.441647,1222608992745.9822,530635996663.91406,6665736357.81561,35006644695.947655,25493426289.63967,10983174980.334587,21629627501.551956,17739213876.44605,304293395284.9259
2024-01-31 00:00:00+00:00,781921958560.1208,16895776960.275171,2436691505.0295,35201414955.33368,19008876242.663612,1244044090568.4663,528014624252.38184,6953359000.778392,34749547718.93263,15896597289.629322,12096875621.435308,17777914513.44172,9463372938.854147,271550805230.04462
2024-02-29 00:00:00+00:00,788857870780.5303,17269099700.14347,2251936256.483048,32148016880.76426,9196975140.075745,1208133240219.6638,455133224800.88074,7082703179.468077,32955277898.374256,14927574349.965528,10237047797.885868,21356891252.752968,15232862708.680511,174149897492.1345
2024-03-31 00:00:00+00:00,1536625261319.931,119961342908.86542,5932038291.887992,78621254487.25647,27852680627.613365,2425138967388.1426,753353815481.0914,26124164795.34761,106793714538.46213,28584600408.03332,15693799349.365065,23921832060.66736,61163590772.3042,304865679548.2525
2024-04-30 00:00:00+00:00,960207520295.4093,70395332803.29384,2982341532.4702864,49385044252.48468,21378517105.873623,1478490331503.4968,485260473363.04364,23275319791.48106,51074209101.0919,15212013555.852337,12262415745.806791,14373923924.82851,66907228878.04016,236425160056.69342
2024-05-31 00:00:00+00:00,790840252313.9603,43853727015.42566,1720492896.549769,28919036987.907593,10500260894.734867,1232732065741.2156,472960082458.72644,9353770543.83822,32601604092.228737,10219270229.864367,10837781736.686424,15412531733.684755,62064848475.42776,194808870447.44183
2024-06-30 00:00:00+00:00,682513990942.7714,22529242034.26268,1561272099.6498232,26760087455.42871,10071344536.203938,1121585046561.2961,376877323000.7095,6633218664.373446,35586005559.832634,9803660843.29237,9400970170.431868,11240906414.661804,110439000776.79411,153256788638.50217
2024-07-31 00:00:00+00:00,938629888155.8057,26387223011.79163,2742216425.592773,52219890298.7383,9947004701.923466,1268132897653.9373,475448934317.7505,7887235292.537808,28819746804.263737,11482990254.123144,12003101832.553635,11705073971.079033,61094740994.80958,208419734409.47217
2024-08-31 00:00:00+00:00,1078126357977.6743,24574010325.278816,2415652223.371405,50907540381.918274,10600706775.746717,1494406755378.9841,543313835607.1949,7454011216.60554,32508346330.82548,10754403988.002003,20621681161.50793,10204513645.863146,45825185469.96681,256659363746.37863
2024-09-30 00:00:00+00:00,845699222732.0558,20842448480.575188,1632586236.8825264,36085974108.86609,9860364335.914484,1259269424891.239,407107397630.5513,6144013827.40687,25510597518.650925,9242053711.390306,11498238869.5105,9681077791.552893,15019019727.711649,175704734666.8942
2024-10-31 00:00:00+00:00,1034385604650.5502,44337090238.78049,1752616099.8172193,40855170516.23725,10670814106.760113,1438862068707.4019,491948568998.2161,8246617435.082847,22978026361.633556,10129544476.646141,12520533312.158539,12059841312.363981,16823907971.067307,172612782797.53348
2024-11-30 00:00:00+00:00,2246922623328.597,357852216099.9301,62251098463.92673,240157874781.94678,30692261388.3013,2980906474288.1616,1069354380173.1437,21904719586.02709,56639191745.86469,79926261626.84056,28427865801.86278,30425577628.9598,27326904864.249825,276878910050.2557
2024-12-31 00:00:00+00:00,2479588906323.729,216622259337.8469,37499641058.8289,472524044596.02386,44540820734.0446,3448116903445.348,1177751714728.284,20852585028.86078,62786459027.51086,66063381624.46802,80835352685.76462,81040059674.46664,28967511422.798473,265959293294.33386
2025-01-31 00:00:00+00:00,1652950356756.7805,118717828101.89584,23653886989.75989,265668538281.81326,27451515077.52109,2081693304997.5703,803662742820.5057,7950930090.679179,30671771815.97395,43602315950.70958,33243975082.23765,34786065481.081085,28433163723.238697,332533933110.45917
2025-02-28 00:00:00+00:00,1431465834637.635,59967409942.53534,9301233446.40437,181741809175.489,35370716166.574005,1801464237647.2454,823988391666.0052,6065148122.540209,39713395739.18181,27893054625.345673,25585558732.02436,22578146278.111313,24100238173.16733,258376486244.03275
2025-03-31 00:00:00+00:00,111329711897.70956,3734343305.5151377,557720567.017313,9989152351.56563,2842749330.1120534,164845279418.28564,49008615962.025,667596248.7872887,2415129171.3341303,1655130377.2584767,1927561993.7185187,1188733331.559361,1714419178.2940419,23459946322.35633
